Date,Original,Train,Test,Valid
2011-12-25,2999.1400000000003,2713.162109375,,
2012-01-01,2680.443333333333,2682.193603515625,,
2012-01-08,2644.806666666667,2588.71142578125,,
2012-01-15,2466.7183333333332,2336.669189453125,,
2012-01-22,2493.385,2235.87548828125,,
2012-01-29,2427.9133333333334,2360.6259765625,,
2012-02-05,2415.6380000000004,2369.960693359375,,
2012-02-12,2195.8383333333336,2340.287841796875,,
2012-02-19,2104.726666666667,2155.827392578125,,
2012-02-26,1942.368,2061.992431640625,,
2012-03-04,1612.07,1934.4212646484375,,
2012-03-11,1389.0699999999997,1575.5655517578125,,
2012-03-18,1196.408,1374.6180419921875,,
2012-03-25,1052.6399999999999,1154.3997802734375,,
2012-04-01,986.616,1015.5708618164062,,
2012-04-08,1094.3183333333332,961.0377807617188,,
2012-04-15,1186.512,1044.0911865234375,,
2012-04-22,1264.125,1139.848876953125,,
2012-04-29,1226.6516666666666,1223.5833740234375,,
2012-05-06,1242.9375,1189.5357666015625,,
2012-05-13,1225.1050000000002,1224.2152099609375,,
2012-05-20,1148.736666666667,1248.9752197265625,,
2012-05-27,1192.745,1173.9766845703125,,
2012-06-03,1178.4924999999998,1230.3863525390625,,
2012-06-10,1193.38,1189.4874267578125,,
2012-06-17,1916.74,1200.6539306640625,,
2012-06-24,2062.73,1997.1224365234375,,
2012-07-01,2305.85,2077.206787109375,,
2012-07-08,6406.25,2309.201416015625,,
2012-07-15,6361.03,6819.7255859375,,
2012-07-22,8768.2,6392.4755859375,,
2012-07-29,19287.54,8955.0498046875,,
2012-08-05,12649.565,20505.83984375,,
2012-08-12,24977.43,11992.548828125,,
2012-08-19,15053.625,26435.537109375,,
2012-08-26,25711.76,15088.2705078125,,
2012-09-02,22287.93,26044.048828125,,
2012-09-09,32303.775,25206.4296875,,
2012-09-16,30665.72,31804.041015625,,
2012-09-23,30188.3,33045.19140625,,
2012-09-30,43491.16,28456.40625,,
2012-10-07,32389.98,46279.61328125,,
2012-10-14,21205.52,31463.26953125,,
2012-10-21,14225.5,20980.091796875,,
2012-10-28,9071.62,14758.39453125,,
2012-11-04,7940.0,8130.40869140625,,
2012-11-11,6381.1,10583.587890625,,
2012-11-18,5890.32,5612.9384765625,,
2012-11-25,5735.48,2834.034423828125,,
2012-12-02,3921.863333333333,3588.2265625,,
2012-12-09,2957.0783333333334,2173.56494140625,,
2012-12-16,2785.285,2215.184814453125,,
2012-12-23,4141.77,2456.449951171875,,
2012-12-30,3235.2033333333334,4050.891357421875,,
2013-01-06,2328.6366666666663,3132.630615234375,,
2013-01-13,1422.07,1836.0902099609375,,
2013-01-20,1279.8783333333333,1065.5302734375,,
2013-01-27,1244.39,1129.906005859375,,
2013-02-03,1169.6166666666666,1534.5782470703125,,
2013-02-10,1268.055,1125.169921875,,
2013-02-17,1205.6133333333335,1055.9119873046875,,
2013-02-24,1160.664,965.01318359375,,
2013-03-03,1639.7416666666668,1053.6881103515625,,
2013-03-10,1768.7016666666666,1682.2603759765625,,
2013-03-17,1526.962,1777.3843994140625,,
2013-03-24,1322.2583333333332,1505.6248779296875,,
2013-03-31,1054.1,1311.52734375,,
2013-04-07,988.4766666666666,1022.3805541992188,,
2013-04-14,956.4959999999999,1075.6082763671875,,
2013-04-21,945.9816666666667,1042.0789794921875,,
2013-04-28,974.6766666666666,921.4950561523438,,
2013-05-05,1018.4219999999999,933.9479370117188,,
2013-05-12,1104.0983333333334,965.3809204101562,,
2013-05-19,1140.385,1086.1456298828125,,
2013-05-26,1036.8719999999998,1141.9229736328125,,
2013-06-02,1052.7775,1028.77978515625,,
2013-06-09,2737.46,1066.3763427734375,,
2013-06-16,4667.18,2922.224853515625,,
2013-06-23,4366.79,4898.63134765625,,
2013-06-30,6666.91,4311.64892578125,,
2013-07-07,26776.72666666667,6822.2724609375,,
2013-07-14,25013.7,28737.87890625,,
2013-07-21,40034.36,25266.41015625,,
2013-07-28,34469.37,41084.78515625,,
2013-08-04,39988.47,34706.22265625,,
2013-08-11,23451.1,39565.45703125,,
2013-08-18,47326.65666666667,26580.8359375,,
2013-08-25,49051.24,49984.47265625,,
